freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.202e+03,2.461e+02,1.222e+02,4.570e+03
1.5,2.676e+03,9.673e+02,1.789e+02,3.822e+03
3.0,4.506e+02,1.169e+03,1.451e+02,1.765e+03
4.5,9.373e+02,8.240e+02,1.775e+02,1.939e+03
6.0,1.960e+03,9.903e+02,1.573e+02,3.108e+03
7.5,2.824e+03,1.011e+03,1.595e+02,3.995e+03
9.0,3.676e+03,1.036e+03,1.509e+02,4.863e+03
10.5,4.712e+03,9.962e+02,1.510e+02,5.859e+03
12.0,6.117e+03,1.026e+03,1.476e+02,7.291e+03
13.5,7.537e+03,8.821e+02,1.523e+02,8.571e+03
15.1,9.204e+03,8.950e+02,1.409e+02,1.024e+04
16.6,1.105e+04,9.054e+02,1.235e+02,1.208e+04
18.1,1.334e+04,9.383e+02,1.333e+02,1.441e+04
19.6,1.633e+04,1.092e+03,1.446e+02,1.756e+04
21.1,1.976e+04,1.316e+03,1.250e+02,2.120e+04
22.6,2.293e+04,1.409e+03,1.207e+02,2.446e+04
24.1,2.496e+04,1.295e+03,1.199e+02,2.637e+04
25.6,2.736e+04,1.220e+03,1.121e+02,2.869e+04
27.1,3.103e+04,1.216e+03,1.110e+02,3.236e+04
28.6,3.550e+04,1.153e+03,1.188e+02,3.678e+04
30.1,4.020e+04,1.148e+03,1.165e+02,4.146e+04
31.6,4.565e+04,1.197e+03,1.217e+02,4.697e+04
33.1,5.160e+04,1.189e+03,1.229e+02,5.291e+04
34.6,5.748e+04,1.044e+03,1.226e+02,5.865e+04
36.1,6.377e+04,8.540e+02,1.177e+02,6.474e+04
37.6,7.041e+04,9.477e+02,1.148e+02,7.147e+04
39.1,7.732e+04,9.711e+02,1.260e+02,7.842e+04
40.6,8.576e+04,1.072e+03,1.437e+02,8.697e+04
42.1,9.440e+04,1.477e+03,1.395e+02,9.602e+04
43.7,1.039e+05,9.984e+02,1.256e+02,1.051e+05
45.2,1.158e+05,7.664e+02,1.332e+02,1.167e+05
46.7,1.296e+05,7.184e+02,1.191e+02,1.304e+05
48.2,1.440e+05,7.358e+02,1.291e+02,1.448e+05
49.7,1.587e+05,1.116e+03,1.311e+02,1.600e+05
51.2,1.755e+05,9.307e+02,1.442e+02,1.766e+05
52.7,1.949e+05,8.673e+02,1.960e+02,1.960e+05
54.2,2.181e+05,7.802e+02,2.405e+02,2.191e+05
55.7,2.452e+05,1.067e+03,2.922e+02,2.465e+05
57.2,2.748e+05,1.060e+03,3.421e+02,2.762e+05
58.7,3.026e+05,7.719e+02,4.356e+02,3.038e+05
60.2,3.195e+05,7.261e+02,6.058e+02,3.208e+05
61.7,3.408e+05,7.388e+02,7.587e+02,3.423e+05
63.2,3.792e+05,7.993e+02,9.403e+02,3.810e+05
64.7,4.302e+05,8.087e+02,1.134e+03,4.321e+05
66.2,4.850e+05,8.619e+02,1.331e+03,4.872e+05
67.7,5.534e+05,1.054e+03,1.569e+03,5.561e+05
69.2,6.391e+05,1.142e+03,1.971e+03,6.422e+05
70.7,7.442e+05,1.188e+03,2.624e+03,7.480e+05
72.3,8.165e+05,1.172e+03,3.224e+03,8.209e+05
