freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.294e+01,9.282e+02,1.188e+01,9.530e+02
1.5,5.858e+01,1.051e+03,3.764e+01,1.148e+03
3.0,7.411e+01,9.619e+02,4.291e+01,1.079e+03
4.5,7.713e+01,1.163e+03,4.364e+01,1.284e+03
6.0,7.322e+01,2.021e+03,4.958e+01,2.144e+03
7.5,8.179e+01,3.045e+03,5.625e+01,3.183e+03
9.1,7.842e+01,3.823e+03,6.477e+01,3.966e+03
10.6,8.362e+01,4.938e+03,6.869e+01,5.091e+03
12.1,8.972e+01,6.170e+03,6.980e+01,6.329e+03
13.6,9.009e+01,7.273e+03,7.921e+01,7.442e+03
15.1,8.979e+01,8.844e+03,7.520e+01,9.009e+03
16.6,1.039e+02,1.059e+04,7.064e+01,1.077e+04
18.1,1.120e+02,1.249e+04,6.815e+01,1.267e+04
19.6,1.127e+02,1.489e+04,7.003e+01,1.507e+04
21.1,1.013e+02,1.685e+04,6.707e+01,1.702e+04
22.6,1.113e+02,1.910e+04,6.867e+01,1.928e+04
24.2,1.459e+02,2.201e+04,7.240e+01,2.223e+04
25.7,1.677e+02,2.497e+04,7.413e+01,2.521e+04
27.2,1.643e+02,2.822e+04,7.437e+01,2.846e+04
28.7,1.630e+02,3.221e+04,7.965e+01,3.245e+04
30.2,1.588e+02,3.665e+04,7.375e+01,3.689e+04
31.7,1.621e+02,4.189e+04,6.915e+01,4.213e+04
33.2,1.808e+02,4.689e+04,6.573e+01,4.714e+04
34.7,1.931e+02,5.104e+04,6.860e+01,5.130e+04
36.2,1.796e+02,5.445e+04,6.912e+01,5.469e+04
37.7,1.887e+02,5.873e+04,7.547e+01,5.900e+04
39.2,2.025e+02,6.322e+04,8.391e+01,6.350e+04
40.8,1.968e+02,6.480e+04,1.091e+02,6.510e+04
42.3,1.990e+02,6.614e+04,1.723e+02,6.651e+04
43.8,2.360e+02,7.005e+04,2.226e+02,7.051e+04
45.3,2.734e+02,7.595e+04,2.582e+02,7.648e+04
46.8,2.919e+02,8.218e+04,2.916e+02,8.276e+04
48.3,3.120e+02,8.897e+04,3.060e+02,8.959e+04
49.8,3.109e+02,9.708e+04,2.826e+02,9.768e+04
51.3,3.187e+02,1.063e+05,2.390e+02,1.068e+05
52.8,3.380e+02,1.157e+05,1.928e+02,1.163e+05
54.3,3.490e+02,1.263e+05,1.567e+02,1.268e+05
55.9,3.606e+02,1.409e+05,1.421e+02,1.414e+05
57.4,3.834e+02,1.549e+05,1.243e+02,1.554e+05
58.9,4.399e+02,1.668e+05,1.194e+02,1.674e+05
60.4,5.426e+02,1.849e+05,1.105e+02,1.855e+05
61.9,6.400e+02,2.097e+05,1.060e+02,2.105e+05
63.4,6.986e+02,2.401e+05,1.345e+02,2.409e+05
64.9,7.229e+02,2.733e+05,1.870e+02,2.742e+05
66.4,6.195e+02,2.946e+05,2.193e+02,2.955e+05
67.9,4.886e+02,3.155e+05,2.620e+02,3.162e+05
