freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.934e+03,4.939e+01,2.018e+02,3.185e+03
1.5,2.428e+03,2.122e+02,4.617e+02,3.102e+03
3.0,1.003e+03,2.953e+02,4.847e+02,1.783e+03
4.5,1.177e+03,2.905e+02,4.564e+02,1.924e+03
6.0,2.167e+03,3.384e+02,4.647e+02,2.970e+03
7.5,2.966e+03,4.293e+02,4.563e+02,3.852e+03
9.0,3.650e+03,3.839e+02,4.714e+02,4.505e+03
10.6,4.667e+03,2.909e+02,4.632e+02,5.421e+03
12.1,6.248e+03,3.239e+02,4.283e+02,7.000e+03
13.6,7.912e+03,4.031e+02,3.781e+02,8.693e+03
15.1,9.360e+03,3.609e+02,3.560e+02,1.008e+04
16.6,1.116e+04,3.083e+02,3.324e+02,1.180e+04
18.1,1.326e+04,3.433e+02,3.209e+02,1.392e+04
19.6,1.597e+04,3.986e+02,2.967e+02,1.666e+04
21.1,1.885e+04,3.866e+02,2.776e+02,1.951e+04
22.6,2.069e+04,4.011e+02,2.786e+02,2.137e+04
24.1,2.266e+04,3.907e+02,2.983e+02,2.335e+04
25.6,2.513e+04,3.930e+02,2.689e+02,2.579e+04
27.1,2.765e+04,3.753e+02,2.197e+02,2.825e+04
28.7,3.032e+04,3.583e+02,1.952e+02,3.087e+04
30.2,3.427e+04,3.521e+02,1.942e+02,3.482e+04
31.7,3.994e+04,3.231e+02,1.783e+02,4.044e+04
33.2,4.642e+04,4.265e+02,1.954e+02,4.704e+04
34.7,5.189e+04,4.261e+02,1.945e+02,5.251e+04
36.2,5.597e+04,4.017e+02,1.833e+02,5.655e+04
37.7,6.020e+04,4.570e+02,1.947e+02,6.086e+04
39.2,6.524e+04,4.818e+02,2.119e+02,6.593e+04
40.7,7.109e+04,4.237e+02,1.955e+02,7.171e+04
42.2,7.737e+04,4.219e+02,1.972e+02,7.799e+04
43.7,8.419e+04,4.624e+02,2.042e+02,8.486e+04
45.2,9.187e+04,5.040e+02,2.198e+02,9.260e+04
46.7,9.989e+04,4.968e+02,2.470e+02,1.006e+05
48.3,1.093e+05,5.260e+02,2.613e+02,1.101e+05
49.8,1.193e+05,5.319e+02,2.965e+02,1.201e+05
51.3,1.305e+05,5.415e+02,3.212e+02,1.313e+05
52.8,1.435e+05,4.801e+02,4.061e+02,1.444e+05
54.3,1.592e+05,5.193e+02,4.749e+02,1.602e+05
55.8,1.776e+05,5.501e+02,5.591e+02,1.788e+05
57.3,1.977e+05,5.607e+02,6.425e+02,1.989e+05
58.8,2.162e+05,5.603e+02,6.861e+02,2.175e+05
60.3,2.285e+05,5.434e+02,8.896e+02,2.299e+05
61.8,2.426e+05,5.817e+02,1.334e+03,2.445e+05
63.3,2.640e+05,5.489e+02,1.432e+03,2.660e+05
64.8,2.885e+05,5.050e+02,1.555e+03,2.906e+05
66.4,3.181e+05,5.050e+02,1.799e+03,3.204e+05
67.9,3.598e+05,5.570e+02,2.069e+03,3.624e+05
69.4,4.086e+05,5.474e+02,2.419e+03,4.115e+05
70.9,4.603e+05,5.016e+02,2.966e+03,4.638e+05
72.4,4.870e+05,4.105e+02,3.601e+03,4.910e+05
73.9,5.266e+05,3.803e+02,4.466e+03,5.315e+05
75.4,6.085e+05,3.942e+02,5.454e+03,6.144e+05
76.9,7.148e+05,3.639e+02,6.678e+03,7.218e+05
78.4,8.657e+05,3.301e+02,8.656e+03,8.747e+05
79.9,1.033e+06,3.146e+02,1.137e+04,1.045e+06
81.4,1.260e+06,3.743e+02,1.561e+04,1.276e+06
82.9,1.592e+06,4.324e+02,2.199e+04,1.615e+06
84.4,2.030e+06,3.826e+02,3.132e+04,2.062e+06
