freq,psd_x,psd_y,psd_z,psd_xyz
161.1,5.456e+03,1.781e+05,3.255e+03,1.868e+05
162.6,3.730e+03,1.580e+05,2.004e+03,1.637e+05
164.1,2.958e+03,1.399e+05,1.267e+03,1.441e+05
165.6,2.081e+03,1.065e+05,6.963e+02,1.093e+05
167.1,1.630e+03,9.196e+04,4.545e+02,9.404e+04
168.6,1.512e+03,7.850e+04,3.195e+02,8.034e+04
170.1,1.508e+03,6.564e+04,2.516e+02,6.740e+04
171.6,1.744e+03,5.951e+04,2.687e+02,6.152e+04
173.1,2.570e+03,5.417e+04,4.778e+02,5.722e+04
174.6,3.507e+03,4.933e+04,7.424e+02,5.358e+04
176.1,4.189e+03,4.474e+04,9.287e+02,4.986e+04
177.6,5.689e+03,4.124e+04,1.154e+03,4.809e+04
179.1,7.339e+03,4.069e+04,1.274e+03,4.930e+04
180.6,8.431e+03,3.852e+04,1.322e+03,4.828e+04
182.1,9.308e+03,3.699e+04,1.314e+03,4.762e+04
183.7,9.995e+03,3.590e+04,1.232e+03,4.712e+04
185.2,1.143e+04,3.499e+04,1.324e+03,4.774e+04
186.7,1.296e+04,3.348e+04,1.457e+03,4.790e+04
188.2,1.493e+04,3.301e+04,1.504e+03,4.944e+04
189.7,1.553e+04,3.261e+04,1.440e+03,4.959e+04
191.2,1.472e+04,3.263e+04,1.280e+03,4.863e+04
192.7,1.225e+04,3.229e+04,1.125e+03,4.567e+04
194.2,1.064e+04,3.179e+04,9.985e+02,4.343e+04
195.7,8.480e+03,3.148e+04,8.291e+02,4.079e+04
197.2,7.564e+03,3.088e+04,7.425e+02,3.918e+04
198.7,6.199e+03,3.083e+04,5.868e+02,3.762e+04
