freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.025e+01,8.034e+02,1.847e+01,8.421e+02
1.5,9.072e+01,9.869e+02,7.155e+01,1.149e+03
3.0,1.191e+02,7.935e+02,9.295e+01,1.006e+03
4.5,1.185e+02,1.155e+03,1.002e+02,1.373e+03
6.0,1.043e+02,1.957e+03,9.873e+01,2.160e+03
7.5,1.200e+02,2.820e+03,9.940e+01,3.039e+03
9.0,1.253e+02,3.828e+03,1.039e+02,4.058e+03
10.6,1.172e+02,5.068e+03,1.142e+02,5.299e+03
12.1,1.171e+02,6.281e+03,1.316e+02,6.530e+03
13.6,1.305e+02,7.253e+03,1.402e+02,7.523e+03
15.1,1.364e+02,8.670e+03,1.348e+02,8.941e+03
16.6,1.423e+02,1.038e+04,1.353e+02,1.066e+04
18.1,1.770e+02,1.244e+04,1.585e+02,1.277e+04
19.6,1.693e+02,1.466e+04,1.691e+02,1.500e+04
21.1,1.467e+02,1.641e+04,1.734e+02,1.673e+04
22.6,1.786e+02,1.878e+04,2.017e+02,1.916e+04
24.1,2.327e+02,2.202e+04,2.279e+02,2.248e+04
25.6,2.417e+02,2.507e+04,2.233e+02,2.554e+04
27.1,2.425e+02,2.832e+04,2.353e+02,2.880e+04
28.6,2.289e+02,3.231e+04,2.663e+02,3.280e+04
30.2,2.416e+02,3.711e+04,2.480e+02,3.760e+04
31.7,3.026e+02,4.250e+04,2.856e+02,4.308e+04
33.2,3.037e+02,4.747e+04,2.825e+02,4.806e+04
34.7,2.740e+02,5.195e+04,2.871e+02,5.251e+04
36.2,2.978e+02,5.660e+04,2.708e+02,5.717e+04
37.7,2.853e+02,6.097e+04,2.462e+02,6.151e+04
39.2,2.787e+02,6.395e+04,2.678e+02,6.450e+04
40.7,2.870e+02,6.426e+04,2.568e+02,6.480e+04
42.2,2.714e+02,6.574e+04,2.285e+02,6.624e+04
43.7,2.651e+02,6.980e+04,2.120e+02,7.027e+04
45.2,2.877e+02,7.506e+04,2.235e+02,7.557e+04
46.7,3.054e+02,8.084e+04,2.213e+02,8.136e+04
48.2,3.256e+02,8.775e+04,2.228e+02,8.829e+04
49.8,3.088e+02,9.582e+04,2.075e+02,9.634e+04
51.3,3.156e+02,1.037e+05,1.959e+02,1.042e+05
52.8,3.301e+02,1.112e+05,1.839e+02,1.117e+05
54.3,3.546e+02,1.199e+05,1.890e+02,1.204e+05
55.8,3.627e+02,1.303e+05,1.708e+02,1.309e+05
57.3,3.839e+02,1.438e+05,1.819e+02,1.443e+05
58.8,4.073e+02,1.581e+05,1.781e+02,1.586e+05
60.3,4.262e+02,1.720e+05,1.633e+02,1.726e+05
61.8,4.540e+02,1.893e+05,1.714e+02,1.899e+05
63.3,4.900e+02,2.100e+05,2.036e+02,2.107e+05
64.8,5.193e+02,2.387e+05,2.463e+02,2.395e+05
66.3,5.520e+02,2.688e+05,3.000e+02,2.697e+05
67.8,5.647e+02,2.874e+05,3.588e+02,2.884e+05
69.4,6.841e+02,3.050e+05,3.441e+02,3.061e+05
70.9,9.524e+02,3.421e+05,4.021e+02,3.435e+05
72.4,1.119e+03,3.893e+05,5.564e+02,3.910e+05
73.9,1.158e+03,4.411e+05,7.412e+02,4.430e+05
75.4,1.265e+03,4.970e+05,1.028e+03,4.993e+05
76.9,1.358e+03,5.509e+05,1.268e+03,5.536e+05
78.4,1.456e+03,6.495e+05,1.446e+03,6.524e+05
79.9,1.629e+03,8.417e+05,1.663e+03,8.450e+05
81.4,1.961e+03,1.081e+06,2.022e+03,1.085e+06
82.9,2.605e+03,1.394e+06,2.560e+03,1.399e+06
84.4,4.125e+03,2.103e+06,3.863e+03,2.111e+06
85.9,6.818e+03,3.311e+06,6.021e+03,3.324e+06
87.4,1.036e+04,5.007e+06,9.887e+03,5.027e+06
89.0,1.153e+04,5.921e+06,1.427e+04,5.947e+06
90.5,9.325e+03,5.370e+06,1.739e+04,5.396e+06
92.0,7.006e+03,4.572e+06,1.925e+04,4.598e+06
93.5,4.523e+03,3.554e+06,1.941e+04,3.578e+06
95.0,2.926e+03,2.861e+06,1.998e+04,2.884e+06
