freq,psd_x,psd_y,psd_z,psd_xyz
146.5,3.663e+04,2.439e+03,1.316e+03,4.038e+04
148.0,3.835e+04,3.277e+03,1.848e+03,4.347e+04
149.5,4.300e+04,4.801e+03,2.709e+03,5.051e+04
151.0,4.646e+04,7.312e+03,4.033e+03,5.780e+04
152.5,5.063e+04,1.121e+04,6.124e+03,6.796e+04
154.0,4.360e+04,1.587e+04,7.511e+03,6.698e+04
155.5,3.077e+04,1.972e+04,7.274e+03,5.777e+04
157.0,1.916e+04,2.404e+04,6.097e+03,4.930e+04
158.5,1.235e+04,2.578e+04,4.532e+03,4.266e+04
160.0,9.012e+03,2.370e+04,3.010e+03,3.572e+04
161.5,8.377e+03,1.822e+04,1.850e+03,2.844e+04
163.1,9.348e+03,1.533e+04,1.222e+03,2.590e+04
164.6,1.082e+04,1.223e+04,9.167e+02,2.396e+04
166.1,1.259e+04,1.051e+04,7.804e+02,2.388e+04
167.6,1.600e+04,1.067e+04,8.449e+02,2.751e+04
169.1,1.761e+04,8.783e+03,9.501e+02,2.734e+04
170.6,1.872e+04,9.426e+03,1.346e+03,2.949e+04
172.1,2.047e+04,1.192e+04,2.332e+03,3.472e+04
173.6,2.117e+04,1.295e+04,3.420e+03,3.755e+04
175.1,1.734e+04,1.045e+04,3.557e+03,3.135e+04
176.6,1.851e+04,9.665e+03,3.857e+03,3.203e+04
178.2,2.485e+04,1.061e+04,5.055e+03,4.051e+04
179.7,3.738e+04,1.253e+04,7.249e+03,5.716e+04
181.2,5.742e+04,1.469e+04,1.171e+04,8.382e+04
182.7,6.624e+04,1.244e+04,1.560e+04,9.429e+04
184.2,6.636e+04,9.756e+03,1.710e+04,9.322e+04
185.7,6.912e+04,9.675e+03,1.842e+04,9.721e+04
187.2,9.023e+04,1.247e+04,2.158e+04,1.243e+05
188.7,7.584e+04,9.844e+03,1.868e+04,1.044e+05
190.2,3.443e+04,4.160e+03,1.103e+04,4.961e+04
191.7,2.203e+04,2.672e+03,6.542e+03,3.124e+04
193.3,2.685e+04,2.658e+03,6.394e+03,3.591e+04
194.8,4.416e+04,3.932e+03,9.400e+03,5.750e+04
196.3,5.250e+04,6.971e+03,1.061e+04,7.008e+04
197.8,4.870e+04,8.671e+03,8.691e+03,6.607e+04
199.3,3.657e+04,5.967e+03,6.056e+03,4.860e+04
