freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.387e+01,5.645e+02,1.434e+01,5.928e+02
1.5,6.100e+01,8.014e+02,5.335e+01,9.158e+02
3.0,6.341e+01,5.903e+02,6.219e+01,7.159e+02
4.5,5.424e+01,8.401e+02,6.758e+01,9.619e+02
6.0,5.415e+01,1.781e+03,6.652e+01,1.902e+03
7.5,5.874e+01,2.723e+03,6.272e+01,2.844e+03
9.0,6.725e+01,3.713e+03,6.455e+01,3.845e+03
10.5,7.155e+01,4.767e+03,6.058e+01,4.899e+03
12.0,6.630e+01,5.718e+03,5.813e+01,5.843e+03
13.5,6.887e+01,6.786e+03,6.322e+01,6.918e+03
15.0,6.987e+01,8.233e+03,6.047e+01,8.363e+03
16.5,7.224e+01,9.862e+03,5.777e+01,9.992e+03
18.0,7.214e+01,1.181e+04,5.818e+01,1.194e+04
19.5,7.392e+01,1.374e+04,6.892e+01,1.389e+04
21.0,7.423e+01,1.618e+04,6.860e+01,1.633e+04
22.5,6.450e+01,1.899e+04,6.134e+01,1.912e+04
24.0,6.874e+01,2.229e+04,6.262e+01,2.242e+04
25.5,6.232e+01,2.553e+04,6.585e+01,2.566e+04
27.0,6.662e+01,2.927e+04,6.007e+01,2.940e+04
28.5,6.905e+01,3.386e+04,5.880e+01,3.399e+04
30.0,7.474e+01,3.883e+04,5.803e+01,3.896e+04
31.5,8.240e+01,4.416e+04,6.027e+01,4.431e+04
33.0,7.542e+01,4.969e+04,6.033e+01,4.983e+04
34.5,7.643e+01,5.561e+04,6.717e+01,5.575e+04
36.0,7.908e+01,6.059e+04,7.160e+01,6.074e+04
37.5,7.859e+01,6.567e+04,7.158e+01,6.582e+04
39.0,8.678e+01,6.948e+04,7.614e+01,6.964e+04
40.5,8.203e+01,7.190e+04,7.139e+01,7.206e+04
42.0,7.675e+01,7.488e+04,7.013e+01,7.503e+04
43.5,7.615e+01,7.995e+04,6.414e+01,8.009e+04
45.0,7.583e+01,8.653e+04,6.266e+01,8.667e+04
46.5,7.225e+01,9.393e+04,6.514e+01,9.407e+04
48.0,8.027e+01,1.031e+05,5.890e+01,1.032e+05
49.5,7.692e+01,1.125e+05,5.387e+01,1.127e+05
51.0,6.987e+01,1.225e+05,6.186e+01,1.226e+05
52.5,6.906e+01,1.339e+05,6.827e+01,1.340e+05
54.0,7.558e+01,1.450e+05,7.593e+01,1.451e+05
55.5,7.173e+01,1.563e+05,7.298e+01,1.565e+05
57.0,6.571e+01,1.679e+05,6.779e+01,1.680e+05
58.5,6.878e+01,1.805e+05,7.313e+01,1.806e+05
60.0,7.665e+01,1.962e+05,6.957e+01,1.963e+05
61.5,7.894e+01,2.129e+05,6.541e+01,2.130e+05
63.0,9.385e+01,2.336e+05,7.172e+01,2.338e+05
64.5,8.558e+01,2.524e+05,9.457e+01,2.526e+05
