freq,psd_x,psd_y,psd_z,psd_xyz
147.4,5.998e+04,5.809e+05,2.391e+05,8.799e+05
148.9,6.339e+04,5.686e+05,2.125e+05,8.445e+05
150.3,6.519e+04,5.670e+05,1.856e+05,8.178e+05
151.8,6.115e+04,5.463e+05,1.598e+05,7.673e+05
153.3,4.774e+04,4.730e+05,1.276e+05,6.483e+05
154.8,3.681e+04,4.104e+05,1.049e+05,5.521e+05
156.3,3.075e+04,3.643e+05,9.056e+04,4.857e+05
157.8,2.662e+04,3.374e+05,7.326e+04,4.373e+05
159.3,2.064e+04,2.941e+05,5.353e+04,3.683e+05
160.8,1.689e+04,2.623e+05,4.029e+04,3.194e+05
162.3,1.674e+04,2.566e+05,3.431e+04,3.076e+05
163.7,1.789e+04,2.618e+05,3.341e+04,3.131e+05
165.2,1.750e+04,2.599e+05,3.206e+04,3.095e+05
166.7,1.622e+04,2.516e+05,2.999e+04,2.978e+05
168.2,1.423e+04,2.337e+05,2.649e+04,2.744e+05
169.7,1.141e+04,1.998e+05,2.059e+04,2.318e+05
171.2,9.850e+03,1.886e+05,1.787e+04,2.163e+05
172.7,9.211e+03,1.786e+05,1.727e+04,2.051e+05
174.2,8.410e+03,1.753e+05,1.641e+04,2.001e+05
175.6,7.579e+03,1.683e+05,1.559e+04,1.915e+05
177.1,6.042e+03,1.517e+05,1.249e+04,1.702e+05
178.6,4.304e+03,1.356e+05,8.026e+03,1.479e+05
180.1,3.237e+03,1.344e+05,6.286e+03,1.439e+05
181.6,2.213e+03,1.224e+05,4.728e+03,1.293e+05
183.1,1.369e+03,1.172e+05,3.729e+03,1.223e+05
184.6,1.414e+04,1.404e+05,7.115e+04,2.257e+05
186.1,1.039e+05,3.594e+05,5.314e+05,9.947e+05
187.6,8.097e+04,4.886e+05,4.117e+05,9.812e+05
189.0,1.627e+04,2.677e+05,8.046e+04,3.644e+05
190.5,1.180e+03,1.346e+05,4.394e+03,1.402e+05
192.0,8.335e+02,1.380e+05,2.804e+03,1.416e+05
193.5,9.169e+02,1.342e+05,3.117e+03,1.382e+05
195.0,1.122e+03,1.374e+05,3.568e+03,1.421e+05
196.5,1.164e+03,1.289e+05,3.670e+03,1.338e+05
198.0,1.103e+03,1.447e+05,4.634e+03,1.504e+05
199.5,1.085e+03,1.336e+05,5.112e+03,1.398e+05
