freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.359e+01,2.280e+01,2.250e+03,2.326e+03
1.5,5.385e+01,3.199e+01,1.304e+03,1.390e+03
3.0,3.062e+01,2.618e+01,7.037e+01,1.272e+02
4.5,3.499e+01,2.544e+01,8.222e+02,8.826e+02
6.0,3.466e+01,2.786e+01,3.439e+03,3.501e+03
7.5,3.392e+01,3.453e+01,5.977e+03,6.046e+03
9.0,3.523e+01,4.074e+01,8.333e+03,8.409e+03
10.5,3.524e+01,3.424e+01,1.094e+04,1.101e+04
12.0,3.583e+01,3.185e+01,1.423e+04,1.430e+04
13.5,3.830e+01,5.666e+01,1.766e+04,1.776e+04
15.0,3.954e+01,6.419e+01,2.175e+04,2.185e+04
16.5,3.926e+01,5.138e+01,2.756e+04,2.765e+04
18.0,3.902e+01,4.323e+01,3.565e+04,3.573e+04
19.5,4.056e+01,5.214e+01,4.515e+04,4.525e+04
21.0,5.100e+01,8.797e+01,5.381e+04,5.395e+04
22.5,6.902e+01,1.137e+02,6.324e+04,6.343e+04
24.0,8.464e+01,1.347e+02,7.606e+04,7.628e+04
25.5,9.916e+01,1.606e+02,9.235e+04,9.261e+04
27.0,1.250e+02,1.449e+02,1.014e+05,1.016e+05
28.5,1.470e+02,7.720e+01,1.044e+05,1.046e+05
29.9,1.589e+02,5.524e+01,1.164e+05,1.166e+05
31.4,1.704e+02,6.496e+01,1.329e+05,1.332e+05
32.9,1.692e+02,6.735e+01,1.505e+05,1.507e+05
34.4,1.921e+02,6.174e+01,1.668e+05,1.671e+05
35.9,2.872e+02,5.607e+01,1.866e+05,1.869e+05
37.4,4.300e+02,4.537e+01,2.104e+05,2.108e+05
38.9,4.932e+02,4.079e+01,2.336e+05,2.341e+05
40.4,4.263e+02,4.676e+01,2.599e+05,2.603e+05
41.9,3.558e+02,5.425e+01,2.939e+05,2.943e+05
43.4,4.163e+02,5.672e+01,3.304e+05,3.309e+05
44.9,6.195e+02,5.654e+01,3.649e+05,3.656e+05
46.4,8.671e+02,5.937e+01,4.015e+05,4.024e+05
47.9,1.090e+03,5.066e+01,4.447e+05,4.459e+05
49.4,1.269e+03,4.142e+01,5.042e+05,5.055e+05
50.9,1.385e+03,3.636e+01,5.685e+05,5.699e+05
52.4,1.493e+03,3.431e+01,6.283e+05,6.299e+05
53.9,1.681e+03,4.065e+01,7.126e+05,7.143e+05
55.4,1.986e+03,5.139e+01,8.271e+05,8.291e+05
56.9,2.627e+03,5.578e+01,9.882e+05,9.908e+05
58.4,3.601e+03,6.002e+01,1.183e+06,1.187e+06
59.9,4.935e+03,6.846e+01,1.403e+06,1.408e+06
61.4,6.645e+03,8.061e+01,1.674e+06,1.681e+06
62.9,9.002e+03,9.206e+01,2.066e+06,2.075e+06
64.4,1.285e+04,1.126e+02,2.637e+06,2.650e+06
65.9,1.839e+04,3.129e+02,3.520e+06,3.539e+06
67.4,2.660e+04,8.161e+02,4.892e+06,4.919e+06
68.9,3.981e+04,1.552e+03,6.919e+06,6.960e+06
70.4,5.385e+04,2.446e+03,8.751e+06,8.807e+06
