freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.401e+01,1.358e+03,8.278e+01,1.515e+03
1.5,6.608e+01,7.781e+02,8.124e+01,9.254e+02
3.0,3.014e+01,5.548e+01,4.863e+01,1.342e+02
4.6,2.808e+01,9.075e+02,4.584e+01,9.815e+02
6.1,3.469e+01,3.717e+03,4.483e+01,3.796e+03
7.6,3.622e+01,6.413e+03,4.968e+01,6.498e+03
9.1,3.527e+01,8.944e+03,5.562e+01,9.035e+03
10.6,3.979e+01,1.062e+04,5.408e+01,1.071e+04
12.1,3.881e+01,1.371e+04,5.368e+01,1.380e+04
13.7,4.014e+01,1.754e+04,6.026e+01,1.764e+04
15.2,4.482e+01,2.214e+04,6.129e+01,2.225e+04
16.7,5.068e+01,2.841e+04,1.115e+02,2.857e+04
18.2,5.841e+01,3.593e+04,1.315e+02,3.612e+04
19.7,5.605e+01,4.347e+04,6.694e+01,4.359e+04
21.2,4.921e+01,5.142e+04,6.965e+01,5.153e+04
22.8,5.260e+01,6.201e+04,1.025e+02,6.216e+04
24.3,6.210e+01,6.527e+04,1.633e+02,6.550e+04
25.8,6.372e+01,6.634e+04,1.413e+02,6.654e+04
27.3,9.782e+01,7.636e+04,1.472e+02,7.660e+04
28.8,1.640e+02,8.834e+04,9.569e+01,8.860e+04
30.3,2.016e+02,1.010e+05,7.162e+01,1.013e+05
31.9,1.702e+02,1.125e+05,7.441e+01,1.128e+05
33.4,1.250e+02,1.241e+05,7.338e+01,1.243e+05
34.9,1.217e+02,1.368e+05,8.014e+01,1.370e+05
36.4,1.396e+02,1.507e+05,9.140e+01,1.509e+05
37.9,1.757e+02,1.662e+05,9.410e+01,1.665e+05
39.4,2.171e+02,1.845e+05,9.525e+01,1.848e+05
41.0,2.494e+02,2.069e+05,1.118e+02,2.073e+05
42.5,2.959e+02,2.329e+05,1.217e+02,2.333e+05
44.0,3.214e+02,2.592e+05,1.295e+02,2.597e+05
45.5,3.029e+02,2.834e+05,1.484e+02,2.839e+05
47.0,2.709e+02,3.084e+05,1.653e+02,3.088e+05
48.5,2.890e+02,3.380e+05,1.904e+02,3.384e+05
50.1,3.535e+02,3.742e+05,2.287e+02,3.748e+05
51.6,4.350e+02,4.164e+05,2.701e+02,4.171e+05
53.1,4.999e+02,4.621e+05,3.256e+02,4.630e+05
54.6,5.463e+02,5.162e+05,3.912e+02,5.172e+05
56.1,5.155e+02,5.749e+05,4.112e+02,5.758e+05
57.6,4.801e+02,6.412e+05,4.249e+02,6.421e+05
59.2,5.491e+02,7.275e+05,4.520e+02,7.285e+05
60.7,5.763e+02,8.351e+05,6.038e+02,8.363e+05
62.2,1.268e+03,9.680e+05,8.257e+02,9.701e+05
63.7,3.337e+03,1.121e+06,1.306e+03,1.125e+06
65.2,5.210e+03,1.322e+06,2.041e+03,1.329e+06
66.7,6.109e+03,1.552e+06,2.369e+03,1.561e+06
68.3,6.980e+03,1.738e+06,2.572e+03,1.748e+06
69.8,7.994e+03,1.814e+06,2.983e+03,1.825e+06
71.3,9.324e+03,1.888e+06,2.837e+03,1.900e+06
