freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.482e+02,7.384e+01,1.907e+01,9.411e+02
1.5,5.054e+02,6.477e+01,4.134e+01,6.115e+02
3.0,5.203e+01,2.667e+01,3.626e+01,1.150e+02
4.5,9.230e+02,2.596e+01,3.648e+01,9.854e+02
6.1,3.588e+03,2.784e+01,3.944e+01,3.656e+03
7.6,5.907e+03,2.781e+01,4.028e+01,5.975e+03
9.1,8.678e+03,3.791e+01,4.139e+01,8.757e+03
10.6,1.207e+04,3.943e+01,4.254e+01,1.215e+04
12.1,1.518e+04,3.401e+01,4.097e+01,1.525e+04
13.6,1.835e+04,3.601e+01,4.007e+01,1.843e+04
15.2,2.275e+04,3.344e+01,3.918e+01,2.282e+04
16.7,2.904e+04,3.820e+01,4.463e+01,2.912e+04
18.2,3.649e+04,4.002e+01,7.416e+01,3.661e+04
19.7,4.538e+04,4.185e+01,7.649e+01,4.550e+04
21.2,5.445e+04,5.343e+01,7.050e+01,5.458e+04
22.7,6.369e+04,6.055e+01,7.599e+01,6.383e+04
24.3,7.424e+04,7.011e+01,7.695e+01,7.439e+04
25.8,8.583e+04,8.566e+01,6.983e+01,8.599e+04
27.3,1.025e+05,9.840e+01,1.447e+02,1.028e+05
28.8,1.254e+05,6.999e+01,2.917e+02,1.257e+05
30.3,1.238e+05,8.769e+01,3.178e+02,1.242e+05
31.8,9.840e+04,1.418e+02,1.856e+02,9.873e+04
33.4,9.487e+04,1.447e+02,1.044e+02,9.512e+04
34.9,1.063e+05,1.318e+02,9.915e+01,1.065e+05
36.4,1.225e+05,1.543e+02,1.099e+02,1.227e+05
37.9,1.348e+05,1.813e+02,1.303e+02,1.352e+05
39.4,1.480e+05,2.200e+02,1.551e+02,1.484e+05
40.9,1.669e+05,2.575e+02,1.712e+02,1.673e+05
42.5,1.885e+05,3.329e+02,2.271e+02,1.891e+05
44.0,2.034e+05,3.898e+02,2.536e+02,2.041e+05
45.5,2.171e+05,5.679e+02,2.741e+02,2.179e+05
47.0,2.344e+05,7.892e+02,3.219e+02,2.356e+05
48.5,2.539e+05,9.063e+02,3.848e+02,2.551e+05
50.0,2.716e+05,9.831e+02,4.116e+02,2.730e+05
51.6,2.871e+05,1.064e+03,4.519e+02,2.886e+05
53.1,3.179e+05,1.410e+03,5.391e+02,3.199e+05
54.6,3.656e+05,2.152e+03,6.404e+02,3.684e+05
56.1,4.304e+05,3.152e+03,8.287e+02,4.344e+05
57.6,4.870e+05,4.358e+03,1.144e+03,4.925e+05
59.1,5.093e+05,5.320e+03,1.247e+03,5.159e+05
60.7,5.295e+05,5.843e+03,1.140e+03,5.364e+05
62.2,5.292e+05,6.472e+03,1.144e+03,5.368e+05
63.7,5.415e+05,5.965e+03,1.398e+03,5.489e+05
65.2,6.188e+05,4.898e+03,1.756e+03,6.254e+05
66.7,7.114e+05,5.172e+03,1.792e+03,7.184e+05
68.2,8.604e+05,7.052e+03,1.930e+03,8.694e+05
69.8,1.077e+06,8.775e+03,2.287e+03,1.088e+06
71.3,1.286e+06,1.076e+04,2.717e+03,1.299e+06
72.8,2.045e+06,2.811e+04,4.889e+03,2.078e+06
74.3,2.874e+06,5.717e+04,8.205e+03,2.939e+06
75.8,3.169e+06,7.810e+04,1.064e+04,3.258e+06
77.3,3.582e+06,1.044e+05,1.422e+04,3.701e+06
78.9,3.427e+06,1.113e+05,1.524e+04,3.554e+06
80.4,2.892e+06,1.050e+05,1.421e+04,3.011e+06
81.9,3.075e+06,1.313e+05,1.794e+04,3.224e+06
83.4,2.689e+06,1.274e+05,1.747e+04,2.833e+06
84.9,1.284e+06,6.851e+04,1.016e+04,1.363e+06
86.4,4.437e+05,3.752e+04,7.013e+03,4.883e+05
88.0,3.564e+05,4.055e+04,7.884e+03,4.049e+05
89.5,3.414e+05,4.563e+04,8.954e+03,3.960e+05
91.0,2.952e+05,4.652e+04,9.530e+03,3.512e+05
92.5,2.613e+05,4.990e+04,1.053e+04,3.217e+05
94.0,2.448e+05,5.692e+04,1.206e+04,3.138e+05
95.5,2.125e+05,6.336e+04,1.390e+04,2.897e+05
97.1,1.927e+05,7.258e+04,1.696e+04,2.823e+05
98.6,1.822e+05,8.405e+04,2.109e+04,2.874e+05
100.1,1.670e+05,9.887e+04,2.753e+04,2.934e+05
101.6,1.613e+05,1.161e+05,3.507e+04,3.124e+05
103.1,1.551e+05,1.365e+05,4.452e+04,3.361e+05
104.6,1.548e+05,1.659e+05,5.853e+04,3.793e+05
106.2,1.551e+05,1.984e+05,8.045e+04,4.339e+05
107.7,1.488e+05,2.269e+05,1.140e+05,4.898e+05
109.2,1.431e+05,2.052e+05,1.407e+05,4.889e+05
110.7,1.513e+05,1.147e+05,1.257e+05,3.918e+05
112.2,1.869e+05,5.074e+04,1.024e+05,3.401e+05
113.7,2.204e+05,4.303e+04,8.412e+04,3.475e+05
115.3,2.993e+05,9.181e+04,6.811e+04,4.592e+05
116.8,3.771e+05,2.252e+05,5.043e+04,6.527e+05
118.3,5.497e+05,5.668e+05,4.745e+04,1.164e+06
119.8,7.546e+05,1.201e+06,4.738e+04,2.003e+06
121.3,6.805e+05,1.532e+06,3.621e+04,2.248e+06
122.8,4.216e+05,1.183e+06,1.819e+04,1.623e+06
124.4,2.291e+05,8.416e+05,8.770e+03,1.079e+06
125.9,1.252e+05,6.643e+05,5.549e+03,7.951e+05
127.4,1.279e+05,5.452e+05,3.953e+03,6.771e+05
128.9,1.607e+05,4.417e+05,2.725e+03,6.051e+05
130.4,2.045e+05,4.017e+05,2.079e+03,6.083e+05
131.9,2.242e+05,3.455e+05,1.631e+03,5.713e+05
133.4,9.748e+04,1.858e+05,1.013e+03,2.843e+05
135.0,1.736e+04,8.744e+04,6.445e+02,1.054e+05
136.5,1.757e+04,8.501e+04,6.653e+02,1.032e+05
138.0,2.145e+04,8.630e+04,7.523e+02,1.085e+05
139.5,2.229e+04,7.772e+04,7.660e+02,1.008e+05
141.0,2.521e+04,7.494e+04,7.783e+02,1.009e+05
142.5,2.804e+04,6.998e+04,8.094e+02,9.883e+04
144.1,3.110e+04,7.097e+04,9.231e+02,1.030e+05
145.6,3.806e+04,8.600e+04,1.194e+03,1.253e+05
147.1,4.408e+04,1.004e+05,1.542e+03,1.460e+05
148.6,5.339e+04,1.112e+05,2.102e+03,1.667e+05
150.1,6.110e+04,1.139e+05,2.699e+03,1.777e+05
151.6,6.629e+04,1.159e+05,3.569e+03,1.858e+05
153.2,7.186e+04,1.163e+05,4.416e+03,1.926e+05
154.7,7.445e+04,1.072e+05,4.779e+03,1.865e+05
156.2,7.522e+04,9.433e+04,4.834e+03,1.744e+05
157.7,7.450e+04,8.077e+04,4.463e+03,1.597e+05
159.2,5.909e+04,5.640e+04,3.457e+03,1.189e+05
160.7,5.391e+04,4.489e+04,2.967e+03,1.018e+05
162.3,6.476e+04,4.559e+04,3.057e+03,1.134e+05
163.8,8.286e+04,4.870e+04,3.176e+03,1.347e+05
165.3,8.832e+04,4.393e+04,2.824e+03,1.351e+05
166.8,9.402e+04,4.037e+04,2.601e+03,1.370e+05
168.3,9.333e+04,3.623e+04,2.352e+03,1.319e+05
169.8,7.885e+04,2.778e+04,1.893e+03,1.085e+05
171.4,8.782e+04,2.960e+04,2.136e+03,1.196e+05
172.9,1.023e+05,3.298e+04,2.564e+03,1.379e+05
174.4,1.049e+05,3.270e+04,2.810e+03,1.404e+05
175.9,1.063e+05,3.360e+04,3.262e+03,1.431e+05
177.4,9.791e+04,3.151e+04,3.441e+03,1.329e+05
178.9,8.764e+04,2.801e+04,3.319e+03,1.190e+05
