freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.767e+03,1.684e+02,4.218e+01,7.978e+03
1.5,5.943e+03,1.151e+03,6.910e+01,7.163e+03
3.0,3.147e+03,1.203e+03,7.009e+01,4.420e+03
4.6,3.246e+03,1.352e+03,6.619e+01,4.664e+03
6.1,5.770e+03,1.700e+03,5.771e+01,7.527e+03
7.6,8.601e+03,1.947e+03,6.063e+01,1.061e+04
9.1,1.115e+04,1.778e+03,5.725e+01,1.298e+04
10.7,1.424e+04,1.577e+03,5.766e+01,1.588e+04
12.2,1.807e+04,1.487e+03,6.685e+01,1.963e+04
13.7,2.264e+04,1.302e+03,6.719e+01,2.400e+04
15.2,2.743e+04,1.571e+03,6.976e+01,2.907e+04
16.7,3.294e+04,1.621e+03,7.233e+01,3.464e+04
18.3,3.943e+04,1.958e+03,7.570e+01,4.147e+04
19.8,4.650e+04,1.870e+03,7.400e+01,4.844e+04
21.3,5.486e+04,1.983e+03,7.889e+01,5.692e+04
22.8,6.366e+04,2.057e+03,8.142e+01,6.580e+04
24.3,7.196e+04,1.977e+03,7.957e+01,7.402e+04
25.9,8.111e+04,1.633e+03,8.438e+01,8.283e+04
27.4,9.253e+04,1.612e+03,8.821e+01,9.423e+04
28.9,1.033e+05,1.456e+03,8.015e+01,1.048e+05
30.4,1.132e+05,1.376e+03,9.893e+01,1.147e+05
32.0,1.274e+05,1.519e+03,1.124e+02,1.290e+05
33.5,1.470e+05,1.853e+03,1.232e+02,1.490e+05
35.0,1.673e+05,1.943e+03,1.266e+02,1.693e+05
36.5,1.851e+05,1.890e+03,1.369e+02,1.871e+05
38.0,2.006e+05,2.042e+03,1.459e+02,2.027e+05
39.6,2.214e+05,1.725e+03,1.444e+02,2.233e+05
41.1,2.465e+05,1.469e+03,1.486e+02,2.481e+05
42.6,2.731e+05,1.454e+03,1.579e+02,2.747e+05
44.1,3.027e+05,1.940e+03,1.945e+02,3.048e+05
45.6,3.330e+05,2.094e+03,2.702e+02,3.353e+05
47.2,3.642e+05,1.986e+03,2.940e+02,3.665e+05
48.7,3.996e+05,1.667e+03,2.479e+02,4.015e+05
50.2,4.426e+05,1.704e+03,2.716e+02,4.446e+05
51.7,4.915e+05,1.703e+03,2.921e+02,4.934e+05
53.3,5.453e+05,1.563e+03,2.799e+02,5.472e+05
54.8,6.074e+05,1.860e+03,3.109e+02,6.096e+05
56.3,6.742e+05,1.703e+03,4.087e+02,6.763e+05
57.8,7.260e+05,1.514e+03,4.859e+02,7.280e+05
59.3,7.616e+05,1.285e+03,4.280e+02,7.633e+05
60.9,8.154e+05,1.786e+03,3.043e+02,8.175e+05
62.4,9.004e+05,1.907e+03,2.416e+02,9.026e+05
63.9,1.000e+06,1.868e+03,3.124e+02,1.003e+06
65.4,1.132e+06,1.874e+03,4.868e+02,1.135e+06
66.9,1.284e+06,1.945e+03,7.043e+02,1.287e+06
68.5,1.464e+06,2.100e+03,9.690e+02,1.467e+06
70.0,1.686e+06,2.209e+03,1.237e+03,1.690e+06
71.5,1.937e+06,2.324e+03,1.540e+03,1.941e+06
73.0,2.236e+06,2.788e+03,1.789e+03,2.241e+06
74.6,2.553e+06,2.991e+03,1.957e+03,2.558e+06
76.1,2.948e+06,3.201e+03,2.206e+03,2.953e+06
77.6,3.482e+06,3.451e+03,2.679e+03,3.488e+06
79.1,4.168e+06,3.668e+03,3.247e+03,4.175e+06
80.6,5.117e+06,4.437e+03,4.123e+03,5.125e+06
82.2,6.423e+06,5.407e+03,5.436e+03,6.434e+06
83.7,8.172e+06,6.664e+03,7.378e+03,8.186e+06
85.2,1.044e+07,6.873e+03,1.029e+04,1.046e+07
86.7,1.502e+07,8.387e+03,1.685e+04,1.504e+07
88.2,2.426e+07,1.538e+04,3.138e+04,2.431e+07
89.8,3.801e+07,2.775e+04,5.497e+04,3.809e+07
91.3,5.323e+07,4.509e+04,8.526e+04,5.337e+07
92.8,6.976e+07,6.921e+04,1.206e+05,6.995e+07
94.3,7.352e+07,8.271e+04,1.341e+05,7.373e+07
95.9,7.112e+07,1.018e+05,1.463e+05,7.137e+07
97.4,6.581e+07,1.179e+05,1.560e+05,6.608e+07
98.9,5.761e+07,1.113e+05,1.534e+05,5.788e+07
100.4,5.034e+07,1.031e+05,1.472e+05,5.059e+07
101.9,4.372e+07,9.502e+04,1.389e+05,4.395e+07
103.5,3.845e+07,8.905e+04,1.325e+05,3.867e+07
105.0,3.409e+07,8.464e+04,1.275e+05,3.431e+07
