freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.050e+01,2.293e+03,1.354e+01,2.327e+03
1.5,8.659e+01,4.202e+03,5.628e+01,4.345e+03
3.0,1.170e+02,3.430e+03,7.132e+01,3.618e+03
4.6,1.159e+02,4.163e+03,7.445e+01,4.354e+03
6.1,1.118e+02,6.974e+03,6.821e+01,7.154e+03
7.6,1.187e+02,9.311e+03,7.225e+01,9.502e+03
9.1,1.108e+02,1.236e+04,7.902e+01,1.255e+04
10.7,1.146e+02,1.549e+04,7.538e+01,1.568e+04
12.2,1.127e+02,1.880e+04,7.521e+01,1.899e+04
13.7,1.092e+02,2.268e+04,7.101e+01,2.286e+04
15.2,1.059e+02,2.719e+04,7.085e+01,2.737e+04
16.7,1.192e+02,3.172e+04,7.851e+01,3.192e+04
18.3,1.254e+02,3.702e+04,7.795e+01,3.722e+04
19.8,1.152e+02,4.361e+04,8.495e+01,4.381e+04
21.3,1.152e+02,5.128e+04,8.722e+01,5.148e+04
22.8,1.130e+02,5.899e+04,7.926e+01,5.918e+04
24.3,9.742e+01,6.722e+04,7.736e+01,6.739e+04
25.9,9.531e+01,7.678e+04,7.418e+01,7.695e+04
27.4,8.245e+01,8.788e+04,7.379e+01,8.804e+04
28.9,7.333e+01,9.924e+04,7.707e+01,9.939e+04
30.4,8.262e+01,1.116e+05,7.412e+01,1.118e+05
32.0,9.515e+01,1.248e+05,7.711e+01,1.249e+05
33.5,9.530e+01,1.408e+05,6.516e+01,1.410e+05
35.0,8.717e+01,1.598e+05,7.093e+01,1.599e+05
36.5,9.818e+01,1.782e+05,7.612e+01,1.784e+05
38.0,8.942e+01,2.001e+05,7.539e+01,2.003e+05
39.6,8.631e+01,2.231e+05,7.174e+01,2.232e+05
41.1,1.019e+02,2.467e+05,6.901e+01,2.469e+05
42.6,1.032e+02,2.701e+05,7.816e+01,2.703e+05
44.1,1.030e+02,2.966e+05,8.270e+01,2.968e+05
45.6,1.009e+02,3.251e+05,7.463e+01,3.252e+05
47.2,1.087e+02,3.531e+05,8.234e+01,3.533e+05
48.7,1.065e+02,3.837e+05,9.702e+01,3.839e+05
50.2,1.153e+02,4.203e+05,9.663e+01,4.205e+05
51.7,1.400e+02,4.638e+05,1.360e+02,4.640e+05
53.3,1.513e+02,5.110e+05,1.976e+02,5.113e+05
54.8,1.556e+02,5.609e+05,2.531e+02,5.613e+05
56.3,1.219e+02,6.127e+05,3.021e+02,6.131e+05
57.8,1.030e+02,6.717e+05,3.686e+02,6.722e+05
59.3,1.174e+02,7.408e+05,4.464e+02,7.413e+05
60.9,1.690e+02,8.424e+05,5.239e+02,8.431e+05
62.4,2.644e+02,9.223e+05,6.288e+02,9.232e+05
63.9,3.564e+02,9.972e+05,8.039e+02,9.984e+05
65.4,4.139e+02,1.089e+06,1.123e+03,1.090e+06
66.9,4.592e+02,1.140e+06,1.499e+03,1.142e+06
68.5,5.090e+02,1.065e+06,1.824e+03,1.067e+06
70.0,5.933e+02,1.059e+06,2.202e+03,1.062e+06
71.5,5.993e+02,1.118e+06,2.413e+03,1.121e+06
73.0,5.447e+02,1.243e+06,2.323e+03,1.246e+06
74.6,5.474e+02,1.366e+06,2.096e+03,1.369e+06
76.1,5.264e+02,1.442e+06,1.870e+03,1.445e+06
77.6,6.388e+02,1.686e+06,1.686e+03,1.688e+06
79.1,7.207e+02,1.923e+06,1.541e+03,1.926e+06
80.6,7.065e+02,2.158e+06,1.693e+03,2.160e+06
82.2,7.351e+02,2.933e+06,1.960e+03,2.935e+06
83.7,9.819e+02,4.281e+06,2.514e+03,4.285e+06
85.2,1.621e+03,6.414e+06,4.872e+03,6.421e+06
86.7,2.061e+03,9.757e+06,1.098e+04,9.770e+06
88.3,2.860e+03,1.337e+07,2.061e+04,1.340e+07
89.8,3.826e+03,1.231e+07,2.199e+04,1.234e+07
91.3,4.469e+03,9.016e+06,1.566e+04,9.036e+06
92.8,4.952e+03,6.629e+06,1.015e+04,6.644e+06
94.3,5.302e+03,7.470e+06,1.523e+04,7.490e+06
95.9,5.084e+03,7.115e+06,1.560e+04,7.135e+06
97.4,6.208e+03,6.025e+06,1.360e+04,6.045e+06
98.9,6.598e+03,5.430e+06,1.238e+04,5.449e+06
100.4,6.596e+03,4.856e+06,1.097e+04,4.873e+06
101.9,6.716e+03,4.229e+06,9.794e+03,4.245e+06
103.5,6.768e+03,3.291e+06,7.662e+03,3.306e+06
105.0,7.298e+03,2.674e+06,7.395e+03,2.689e+06
106.5,6.557e+03,2.222e+06,6.061e+03,2.234e+06
108.0,5.593e+03,1.899e+06,6.242e+03,1.911e+06
109.6,5.118e+03,1.654e+06,6.915e+03,1.666e+06
111.1,4.986e+03,1.480e+06,7.517e+03,1.493e+06
112.6,5.668e+03,1.407e+06,8.197e+03,1.421e+06
114.1,4.959e+03,1.253e+06,9.034e+03,1.267e+06
115.6,3.842e+03,1.087e+06,8.836e+03,1.100e+06
117.2,3.263e+03,9.840e+05,8.095e+03,9.953e+05
118.7,3.125e+03,9.447e+05,7.840e+03,9.557e+05
120.2,2.932e+03,9.355e+05,8.151e+03,9.466e+05
121.7,2.842e+03,9.385e+05,8.553e+03,9.499e+05
123.2,2.799e+03,9.450e+05,8.698e+03,9.565e+05
124.8,3.142e+03,9.379e+05,8.677e+03,9.498e+05
126.3,3.887e+03,9.069e+05,1.114e+04,9.219e+05
127.8,5.058e+03,8.792e+05,1.727e+04,9.016e+05
129.3,7.054e+03,8.783e+05,2.728e+04,9.126e+05
130.9,8.805e+03,8.949e+05,3.586e+04,9.396e+05
132.4,7.325e+03,7.090e+05,3.070e+04,7.470e+05
133.9,1.848e+03,1.728e+05,7.679e+03,1.823e+05
135.4,8.727e+02,3.423e+04,2.126e+03,3.723e+04
136.9,1.285e+03,2.724e+04,1.893e+03,3.041e+04
138.5,1.368e+03,2.620e+04,1.049e+03,2.862e+04
140.0,1.300e+03,2.647e+04,6.398e+02,2.841e+04
141.5,1.277e+03,2.791e+04,5.215e+02,2.971e+04
143.0,1.281e+03,2.923e+04,4.672e+02,3.097e+04
144.6,1.248e+03,3.341e+04,4.276e+02,3.509e+04
146.1,1.322e+03,4.416e+04,5.089e+02,4.599e+04
147.6,1.543e+03,5.703e+04,7.311e+02,5.931e+04
149.1,1.741e+03,7.173e+04,9.710e+02,7.444e+04
150.6,1.875e+03,8.935e+04,1.262e+03,9.248e+04
152.2,2.220e+03,1.119e+05,1.716e+03,1.158e+05
153.7,2.995e+03,1.303e+05,2.252e+03,1.356e+05
155.2,3.910e+03,1.394e+05,2.587e+03,1.459e+05
